year,industry_code,code_source,inspection_count,violation_count,accident_count,avg_penalty,avg_gravity,avg_injury_degree
1995,07,NAICS,2601,3607.0,265.0,484.10005262740833,0.80188476493335,1.8943396226415095
1995,10,NAICS,581,463.0,95.0,1256.8268730049178,1.5876236543706224,
1995,15,NAICS,39327,68321.0,1413.0,742.5558368772738,2.4036111638344515,1.5244161358811041
1995,20,NAICS,25114,102336.0,1570.0,760.8606025031334,1.4994301994638357,
1995,40,NAICS,3128,6503.0,211.0,,1.52186515650158,1.5592417061611374
1995,48,NAICS,236,246.0,12.0,932.547619047619,1.378238341968912,1.6666666666666667
1995,49,NAICS,1356,3365.0,123.0,1004.2267759562842,1.7372330547818013,1.5365853658536586
1995,50,NAICS,2726,8961.0,183.0,838.6922841993828,1.2719577848096395,1.5846994535519126
1995,52,NAICS,6137,17234.0,190.0,485.58064444457733,0.956694033681398,1.763157894736842
1995,60,NAICS,1198,2843.0,77.0,828.9743489748508,1.4876505077137179,
1995,72,NAICS,613,1641.0,10.0,442.14183835182246,1.2558620689655173,1.8
1995,75,NAICS,4298,11885.0,232.0,556.2702839356189,1.4651175852497578,1.5862068965517242
1995,79,NAICS,708,1845.0,45.0,747.0444574457605,1.1400924493076285,1.8666666666666667
1995,80,NAICS,2035,4453.0,35.0,605.8084866828087,1.2798588490770901,2.142857142857143
1995,82,NAICS,1508,4449.0,31.0,520.0374629080119,0.8565719360568383,1.903225806451613
1995,83,NAICS,485,1044.0,4.0,421.26979166666666,1.1708609271523178,2.0
1995,89,NAICS,789,1163.0,43.0,640.6629874682234,1.304021506361119,
1995,90,NAICS,4008,9277.0,138.0,753.0510281356344,1.511495829683356,1.9202898550724639
1996,07,NAICS,1967,4087.0,217.0,1477.4383312433336,1.4093763775667572,1.5898617511520738
1996,10,NAICS,692,875.0,91.0,1682.2528801223839,2.1817135760254196,
1996,15,NAICS,39459,71511.0,1383.0,970.3201646542308,2.469147524849397,1.5950831525668836
1996,20,NAICS,23619,100870.0,1237.0,966.6573942486343,1.6107611432366047,
1996,40,NAICS,2892,6935.0,194.0,837.0931579375664,1.6229788044576012,
1996,48,NAICS,234,296.0,18.0,1821.7862903225807,1.6470588235294117,1.3888888888888888
1996,49,NAICS,1512,3984.0,119.0,1619.3900083963056,2.23683280311064,1.588235294117647
1996,50,NAICS,2622,9285.0,187.0,850.814013794584,1.643846533172087,1.6363636363636365
1996,52,NAICS,4924,13256.0,164.0,587.3725264693958,0.8800213533242477,1.9390243902439024
1996,60,NAICS,1263,3332.0,40.0,884.1837199405568,1.554744408263612,
1996,72,NAICS,556,1779.0,8.0,400.4980751173709,1.1746442432082795,1.625
1996,75,NAICS,3802,11799.0,150.0,632.3710722233365,1.5821496539627313,1.5733333333333333
1996,79,NAICS,730,2118.0,39.0,593.0032674252748,1.162209636288717,1.5897435897435896
1996,80,NAICS,1778,4356.0,13.0,714.8391540130152,1.5054854635216677,1.7692307692307692
1996,82,NAICS,1385,4136.0,26.0,490.50086805555554,1.1435331230283912,2.0
1996,83,NAICS,408,812.0,11.0,659.5605726872246,1.0723981900452488,1.7272727272727273
1996,89,NAICS,802,1508.0,35.0,816.2836724174705,2.069396708515818,
1996,90,NAICS,3716,8698.0,115.0,549.6717234089377,1.56906639216092,1.9565217391304348
1997,07,NAICS,1674,3694.0,235.0,907.1015976531932,1.497250472682244,1.5702127659574467
1997,10,NAICS,670,901.0,105.0,,1.7970196372478509,
1997,15,NAICS,46104,89689.0,1491.0,927.3554133232766,3.128367432729923,1.5486250838363513
1997,20,NAICS,27669,114340.0,1280.0,935.59294965138,1.9132574679757077,
1997,40,NAICS,3155,7906.0,200.0,862.9564840988021,1.8460373874568219,
1997,48,NAICS,234,321.0,23.0,1061.6642857142858,2.094017094017094,1.4782608695652173
1997,49,NAICS,1472,4083.0,107.0,1795.692681678608,1.783587786259542,1.4953271028037383
1997,50,NAICS,3221,10929.0,179.0,732.7193259799261,1.7602614235166485,1.5977653631284916
1997,52,NAICS,5189,15027.0,169.0,502.97665294902436,1.1482183200159868,1.8520710059171597
1997,60,NAICS,1465,3709.0,49.0,726.5301309456213,1.5229486369919722,
1997,72,NAICS,559,1776.0,11.0,687.4670616113744,1.6525096525096528,2.1818181818181817
1997,75,NAICS,4211,12766.0,214.0,586.0009763553796,1.6793386907205716,1.766355140186916
1997,79,NAICS,766,2179.0,53.0,650.1151563483525,1.5890081167519365,1.490566037735849
1997,80,NAICS,1546,3550.0,23.0,730.4836742722267,1.708067940552017,1.826086956521739
1997,82,NAICS,1636,4578.0,34.0,535.3141025641025,1.012531328320802,1.8235294117647058
1997,83,NAICS,409,776.0,16.0,954.8883248730965,1.2638146167557933,1.6875
1997,89,NAICS,830,1463.0,30.0,839.1243733806594,2.1540343974639478,1.8333333333333333
1997,90,NAICS,3815,10040.0,126.0,,1.7844131708335826,
1998,07,NAICS,2329,4290.0,271.0,545.1653426942026,2.61001168487892,1.6309963099630995
1998,10,NAICS,626,800.0,120.0,1227.2386130960547,4.468152994011977,
1998,15,NAICS,46532,92341.0,1500.0,879.9525782660548,3.7392715752168284,1.5566666666666666
1998,20,NAICS,24824,106768.0,1274.0,917.3178993037525,2.426951491746341,
1998,40,NAICS,3116,7338.0,238.0,1154.8108641103079,2.50087368432415,1.5798319327731092
1998,48,NAICS,273,331.0,18.0,1505.982638888889,2.2483660130718954,1.3333333333333333
1998,49,NAICS,1478,3672.0,134.0,1749.7331637372804,3.229605618584549,1.671641791044776
1998,50,NAICS,2744,8170.0,180.0,1233.4078674663183,2.2474661893801584,1.6277777777777778
1998,52,NAICS,4717,12523.0,186.0,478.9583262884249,1.7421400186941771,
1998,60,NAICS,1586,3680.0,32.0,1675.299261072268,2.3171159120938007,
1998,72,NAICS,476,1416.0,11.0,545.8269346733668,2.2998897464167585,1.7272727272727273
1998,75,NAICS,3774,10763.0,226.0,626.982799000407,2.4484248541700877,1.5973451327433628
1998,79,NAICS,619,1836.0,52.0,591.0820304561227,2.3284332948413518,1.6538461538461537
1998,80,NAICS,2090,5530.0,26.0,687.867728237792,2.0005449591280655,1.7692307692307692
1998,82,NAICS,1475,4715.0,29.0,814.4228119180633,1.740325865580448,2.0
1998,83,NAICS,324,673.0,5.0,326.22222222222223,2.1463414634146343,1.6
1998,89,NAICS,821,1468.0,40.0,636.1847625701874,2.542832903312662,
1998,90,NAICS,3427,8626.0,130.0,795.0213406249514,1.918760614396735,1.8
1999,07,NAICS,2784,4674.0,282.0,654.9390146598679,2.9680593405919518,1.6702127659574468
1999,10,NAICS,591,599.0,59.0,1155.809303540626,4.8066304537413105,
1999,15,NAICS,48032,96675.0,1709.0,1017.2343536821113,3.9836674636560088,1.5740198946752486
1999,20,NAICS,24631,104577.0,1444.0,1120.7618414394542,2.5142876823604694,1.8518005540166205
1999,40,NAICS,3806,7700.0,268.0,969.7258516872877,2.28252507555296,
1999,48,NAICS,297,418.0,19.0,1397.6304347826087,3.5575221238938055,1.5263157894736843
1999,49,NAICS,1295,3140.0,128.0,2793.618503118503,3.1245136186770432,1.640625
1999,50,NAICS,2837,8942.0,198.0,955.2527521223274,2.3125383618058053,1.7171717171717171
1999,52,NAICS,4253,11398.0,192.0,597.3667599049456,2.0011540376124817,1.875
1999,60,NAICS,1282,3055.0,46.0,980.7575152932872,2.9110918066925446,
1999,72,NAICS,365,1101.0,5.0,606.3176470588236,2.2217261904761907,1.4
1999,75,NAICS,4046,11172.0,272.0,799.2233952021328,2.3567964708395754,1.6691176470588236
1999,79,NAICS,592,1800.0,48.0,680.2078703703704,2.420026782725142,1.6875
1999,80,NAICS,2215,5316.0,17.0,693.3614431879375,1.920654911838791,1.6470588235294117
1999,82,NAICS,1304,3632.0,33.0,976.4538461538461,1.8834134615384615,1.9393939393939394
1999,83,NAICS,353,677.0,12.0,428.32941176470587,2.155,1.6666666666666667
1999,89,NAICS,841,1444.0,47.0,1065.9255983583525,3.09649621996866,
1999,90,NAICS,3268,7057.0,155.0,612.61522347242,2.0059935569263474,1.903225806451613
2000,07,NAICS,2706,4062.0,258.0,790.7096175464254,3.280080173103654,1.5968992248062015
2000,10,NAICS,579,873.0,69.0,,,1.289855072463768
2000,15,NAICS,47287,98104.0,1856.0,1010.9847542883069,4.16363385613145,1.6303879310344827
2000,20,NAICS,23544,101760.0,1443.0,1128.613885732628,2.663330730956006,
2000,40,NAICS,3557,8345.0,268.0,1111.5004605764393,2.417641342564622,1.507462686567164
2000,48,NAICS,257,346.0,20.0,1287.252688172043,3.4379562043795615,1.6
2000,49,NAICS,1318,2994.0,112.0,1688.820941402498,3.598634294385432,1.5982142857142858
2000,50,NAICS,2810,9246.0,164.0,842.6561377087212,2.48756037512787,1.774390243902439
2000,52,NAICS,3775,10375.0,182.0,712.51840972138,2.1992096081478305,1.7637362637362637
2000,60,NAICS,1114,2741.0,43.0,837.5803589659839,,
2000,72,NAICS,396,1407.0,13.0,762.8577371048253,2.7157738095238093,2.076923076923077
2000,75,NAICS,3616,10976.0,252.0,722.6969267947766,2.594484763564845,1.5674603174603174
2000,79,NAICS,560,1637.0,47.0,734.8402345689933,2.650575112201774,1.5957446808510638
2000,80,NAICS,2622,7092.0,26.0,731.8622197882439,1.8465376172420676,1.7692307692307692
2000,82,NAICS,1189,3335.0,28.0,900.935606060606,2.3802083333333335,2.0
2000,83,NAICS,294,628.0,6.0,584.2275,2.6733870967741935,1.6666666666666667
2000,89,NAICS,834,1726.0,74.0,1270.4509539714213,3.2733925064413882,
2000,90,NAICS,3631,9096.0,82.0,627.5243257085715,2.279486756098626,
2001,07,NAICS,2789,4803.0,295.0,866.0330080688021,3.5768388902166763,1.5661016949152542
2001,10,NAICS,747,1140.0,115.0,1257.9574962876773,,
2001,15,NAICS,50927,99575.0,1962.0,989.0175353341567,4.189236394064716,1.627420998980632
2001,20,NAICS,23469,101413.0,1264.0,941.0501352701133,,
2001,40,NAICS,3252,7761.0,264.0,959.4022393798697,2.3754475396444725,1.4772727272727273
2001,48,NAICS,246,303.0,18.0,863.9798136645962,3.032520325203252,1.6111111111111112
2001,49,NAICS,1191,2807.0,124.0,1717.6001544799174,3.7865911237016054,1.564516129032258
2001,50,NAICS,2944,9860.0,230.0,926.6364529966174,2.498033643414366,1.8217391304347825
2001,52,NAICS,4077,11512.0,210.0,733.4211867098155,2.1735072230453296,1.8285714285714285
2001,60,NAICS,1216,3028.0,57.0,721.1224703800722,2.4725632480923183,
