INDUSTRY_CODE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,YEAR,INDUSTRY_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,EMP_PRSE,PCT_TOTAL,PCT_RPT,MEAN_PRSE,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90,ANNUAL,HOURLY,year,OWNERSHIP
11,373380.0,10.41066206009963,21661.452675558412,8.713377792061706,18117.673147999358,2003,,,,,,,,,,,,,,,,,,,,
21,498800.0,20.96853648757017,43608.61166800321,18.06311848436247,37572.90637530072,2003,,,,,,,,,,,,,,,,,,,,
22,580750.0,25.85,53760.0,24.85,51690.0,2003,,,,,,,,,,,,,,,,,,,,
23,6761690.0,19.060948224482342,39649.28483855368,16.402938422199185,34117.50359747341,2003,,,,,,,,,,,,,,,,,,,,
31-33,14778150.0,18.151132056448205,37755.709009585094,15.42186388688706,32075.59060504867,2003,,,,,,,,,,,,,,,,,,,,
42,5634480.0,20.143354027345914,41899.471681503885,15.46412284718377,32165.500365606054,2003,,,,,,,,,,,,,,,,,,,,
44-45,15102300.0,12.32033663084431,25627.29863001,9.846761135721048,20480.965554915478,2003,,,,,,,,,,,,,,,,,,,,
48-49,4230060.0,17.91726053531156,37268.81554871562,15.627163420849824,32501.726358491367,2003,,,,,,,,,,,,,,,,,,,,
51,3247230.0,23.204087699362226,48269.75181924286,19.265127354699235,40072.38418590614,2003,,,,,,,,,,,,,,,,,,,,
52,5760950.0,22.363310391515288,46523.28206285422,16.7100391775662,34752.307831173675,2003,,,,,,,,,,,,,,,,,,,,
53,2037270.0,15.480485453572674,32198.120524034613,11.90211223843673,24753.270111472706,2003,,,,,,,,,,,,,,,,,,,,
54,6613260.0,27.08,56330.0,21.180000000000003,44040.0,2003,,,,,,,,,,,,,,,,,,,,
55,1673430.0,25.5,53030.0,19.87,41330.0,2003,,,,,,,,,,,,,,,,,,,,
56,7696530.0,13.060462870930143,27165.962284302146,10.21631041521309,21257.657372868034,2003,,,,,,,,,,,,,,,,,,,,
61,11862740.0,19.08,39690.0,16.92,35190.0,2003,,,,,,,,,,,,,,,,,,,,
62,14622810.0,17.918476954839733,37268.32870016091,14.0523374098412,29231.632353836234,2003,,,,,,,,,,,,,,,,,,,,
71,1797130.0,12.901137480315839,26826.802290318454,9.561914997802052,19897.397350219515,2003,,,,,,,,,,,,,,,,,,,,
72,10328820.0,8.937702854730743,18584.25469705155,7.554367894880537,15710.796780271125,2003,,,,,,,,,,,,,,,,,,,,
81,3802220.0,13.85599510286096,28815.87306889133,11.143339733103293,23169.49461104302,2003,,,,,,,,,,,,,,,,,,,,
92,10165660.0,20.13,41870.0,18.23,37910.0,2003,,,,,,,,,,,,,,,,,,,,
11,369310.0,10.8,22470.0,8.45,17570.0,2005,"Agriculture, Forestry, Fishing, and Hunting",00-0000,Industry Total,,0.9,100.00,100.0,0.7,6.76,7.47,12.02,17.61,14060.0,15530.0,24990.0,36630.0,,,,
21,539960.0,21.73,45210.0,18.05,37540.0,2005,Mining,00-0000,Industry Total,,0.9,100.00,100.0,1.1,9.94,13.16,25.6,37.7,20670.0,27370.0,53250.0,78420.0,,,,
22,552440.0,25.83,53720.0,24.7,51370.0,2005,Utilities,00-0000,Industry Total,,1.1,100.00,100.0,0.7,12.6,17.87,32.0,40.66,26200.0,37170.0,66570.0,84560.0,,,,
23,7215240.0,19.69,40960.0,16.89,35130.0,2005,Construction,00-0000,Industry Total,,0.2,100.00,100.0,0.2,9.45,12.2,24.23,33.04,19650.0,25370.0,50390.0,68710.0,,,,
31-33,14262510.0,18.87,39240.0,15.31,31850.0,2005,Manufacturing,00-0000,Industry Total,,0.3,100.00,100.0,0.3,8.7,11.07,22.43,33.62,18090.0,23020.0,46640.0,69930.0,,,,
42,5736020.0,20.87,43410.0,16.1,33480.0,2005,Wholesale Trade,00-0000,Industry Total,,0.2,100.00,100.0,0.3,8.64,11.24,24.76,39.58,17960.0,23370.0,51500.0,82320.0,,,,
44-45,15369450.0,12.67,26360.0,9.85,20480.0,2005,Retail Trade,00-0000,Industry Total,,0.1,100.00,100.0,0.2,6.6,7.73,14.07,21.31,13730.0,16080.0,29270.0,44320.0,,,,
48-49,5131180.0,19.02,39570.0,17.1,35560.0,2005,Transportation and Warehousing,00-0000,Industry Total,,0.4,100.00,100.0,0.6,9.21,12.09,22.91,28.61,19150.0,25150.0,47660.0,59500.0,,,,
51,3081510.0,24.06,50040.0,20.4,42430.0,2005,Information,00-0000,Industry Total,,0.5,100.00,100.0,0.8,8.7,12.72,30.67,44.01,18100.0,26460.0,63790.0,91540.0,,,,
52,5863340.0,23.65,49200.0,17.54,36490.0,2005,Finance and Insurance,00-0000,Industry Total,,0.3,100.00,100.0,0.4,9.53,12.31,27.87,44.77,19830.0,25600.0,57970.0,93120.0,,,,
53,2108600.0,16.76,34850.0,12.88,26780.0,2005,Real Estate and Rental and Leasing,00-0000,Industry Total,,0.4,100.00,100.0,0.5,7.32,9.28,19.04,29.02,15230.0,19300.0,39600.0,60370.0,,,,
54,6928030.0,28.15,58560.0,22.54,46890.0,2005,"Professional, Scientific, and Technical Services",00-0000,Industry Total,,0.2,100.00,100.0,0.3,9.98,14.4,35.89,53.96,20750.0,29950.0,74650.0,112240.0,,,,
55,1739370.0,27.13,56430.0,21.56,44840.0,2005,Management of Companies and Enterprises,00-0000,Industry Total,,0.6,100.00,100.0,0.7,10.08,14.02,34.42,51.5,20960.0,29170.0,71580.0,107130.0,,,,
56,8102250.0,14.19,29510.0,10.87,22610.0,2005,Administrative and Support and Waste Management and Remediation Services,00-0000,Industry Total,,0.2,100.00,100.0,0.4,7.08,8.39,16.09,25.05,14730.0,17450.0,33470.0,52110.0,,,,
61,12137420.0,20.12,41840.0,17.72,36860.0,2005,Educational Services,00-0000,Industry Total,,0.5,100.00,100.0,0.7,8.31,11.84,25.49,34.74,17290.0,24630.0,53030.0,72260.0,,,,
62,15233920.0,18.94,39400.0,14.2,29530.0,2005,Health Care and Social Assistance,00-0000,Industry Total,,0.3,100.00,100.0,0.2,7.86,10.01,22.61,33.43,16340.0,20820.0,47040.0,69530.0,,,,
71,1843720.0,13.43,27920.0,9.87,20540.0,2005,"Arts, Entertainment, and Recreation",00-0000,Industry Total,,0.5,100.00,100.0,0.4,6.41,7.55,15.16,23.93,13340.0,15710.0,31530.0,49770.0,,,,
72,10842570.0,9.18,19090.0,7.83,16280.0,2005,Accomodation and Food Service,00-0000,Industry Total,,0.1,100.00,100.0,0.2,5.87,6.58,10.06,13.89,12220.0,13680.0,20930.0,28890.0,,,,
81,3811110.0,14.76,30710.0,11.56,24050.0,2005,Other Services (except Public Administration),00-0000,Industry Total,,0.2,100.00,100.0,0.3,6.74,8.25,17.68,26.25,14010.0,17160.0,36780.0,54600.0,,,,
92,9439900.0,21.28,44250.0,18.72,38940.0,2005,"Federal, State, and Local Government (OES Designation)",00-0000,Industry Total,,0.4,100.00,100.0,0.3,9.66,13.27,26.6,36.67,20100.0,27600.0,55320.0,76270.0,,,,
11,381900.0,11.98,24930.0,9.35,19440.0,2009,"Agriculture, Forestry, Fishing and Hunting",00-0000,Industry Total,total,0.7,100.00,100,0.6,8.08,8.51,12.93,18.8,16810.0,17700.0,26880.0,39110.0,,,,
21,683880.0,25.4,52840.0,20.96,43590.0,2009,"Mining, Quarrying, and Oil and Gas Extraction",00-0000,Industry Total,total,0.9,100.00,100,0.9,11.85,15.35,29.28,44.0,24660.0,31930.0,60910.0,91520.0,,,,
22,558640.0,29.58,61530.0,28.2,58650.0,2009,Utilities,00-0000,Industry Total,total,1.1,100.00,100,0.7,14.25,20.03,36.32,46.45,29630.0,41660.0,75550.0,96610.0,,,,
23,6497870.0,22.36,46500.0,18.84,39190.0,2009,Construction,00-0000,Industry Total,total,0.2,100.00,100,0.2,10.75,13.82,27.55,37.9,22350.0,28750.0,57310.0,78840.0,,,,
31-33,12444560.0,21.43,44560.0,17.09,35540.0,2009,Manufacturing,00-0000,Industry Total,total,0.3,100.00,100,0.4,9.68,12.41,25.32,38.78,20130.0,25810.0,52660.0,80670.0,,,,
42,5734040.0,24.0,49920.0,18.04,37520.0,2009,Wholesale Trade,00-0000,Industry Total,total,0.2,100.00,100,0.3,9.65,12.72,28.22,45.55,20060.0,26450.0,58690.0,94740.0,,,,
44-45,14974830.0,13.79,28680.0,10.58,22000.0,2009,Retail Trade,00-0000,Industry Total,total,0.1,100.00,100,0.2,7.58,8.55,15.12,22.78,15770.0,17780.0,31440.0,47390.0,,,,
48-49,5085590.0,20.56,42760.0,18.61,38700.0,2009,Transportation and Warehousing,00-0000,Industry Total,total,0.5,100.00,100,0.4,10.0,13.2,25.25,31.17,20800.0,27460.0,52530.0,64840.0,,,,
51,2876820.0,28.4,59070.0,23.61,49120.0,2009,Information,00-0000,Industry Total,total,0.5,100.00,100,1.2,9.91,14.59,35.92,52.57,20620.0,30340.0,74700.0,109340.0,,,,
